X,Y,Max_Depth_m,Time_of_Arrival,Duration_timesteps,Hazard_Class,Hazard_Index
407279.40595106815,4360580.277999514,0.0,-1,0,0,0.0
407304.40595106815,4360580.277999514,0.0,-1,0,0,0.0
407329.40595106815,4360580.277999514,0.0,-1,0,0,0.0
407354.40595106815,4360580.277999514,0.0,-1,0,0,0.0
407379.40595106815,4360580.277999514,0.0,-1,0,0,0.0
407404.40595106815,4360580.277999514,0.0,-1,0,0,0.0
407429.40595106815,4360580.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407454.40595106815,4360580.277999514,2.9183578,4,39,3,1.4591789
407479.40595106815,4360580.277999514,4.683159,4,69,4,2.3415794
407504.40595106815,4360580.277999514,4.8836823,3,70,4,2.4418411
407529.40595106815,4360580.277999514,1.8275795,4,61,2,0.91378975
407554.40595106815,4360580.277999514,2.1244392,4,66,2,1.0622196
407579.40595106815,4360580.277999514,2.562584,4,69,3,1.281292
407604.40595106815,4360580.277999514,2.8671799,5,68,3,1.4335899
407254.40595106815,4360555.277999514,0.0,-1,0,0,0.0
407279.40595106815,4360555.277999514,7.6293945e-06,-1,0,0,3.8146973e-06
407304.40595106815,4360555.277999514,0.0,-1,0,0,0.0
407329.40595106815,4360555.277999514,7.6293945e-06,-1,0,0,3.8146973e-06
407354.40595106815,4360555.277999514,0.0,-1,0,0,0.0
407379.40595106815,4360555.277999514,0.0,-1,0,0,0.0
407404.40595106815,4360555.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407429.40595106815,4360555.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407454.40595106815,4360555.277999514,3.8306007,4,69,3,1.9153004
407479.40595106815,4360555.277999514,4.844818,4,69,4,2.422409
407504.40595106815,4360555.277999514,4.5812035,4,69,4,2.2906017
407529.40595106815,4360555.277999514,1.8655548,4,69,2,0.9327774
407554.40595106815,4360555.277999514,2.0035782,4,62,2,1.0017891
407579.40595106815,4360555.277999514,2.5288582,4,62,3,1.2644291
407254.40595106815,4360530.277999514,0.0,-1,0,0,0.0
407279.40595106815,4360530.277999514,7.6293945e-06,-1,0,0,3.8146973e-06
407304.40595106815,4360530.277999514,7.6293945e-06,-1,0,0,3.8146973e-06
407329.40595106815,4360530.277999514,7.6293945e-06,-1,0,0,3.8146973e-06
407354.40595106815,4360530.277999514,0.0,-1,0,0,0.0
407379.40595106815,4360530.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407404.40595106815,4360530.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407429.40595106815,4360530.277999514,0.86533356,21,49,1,0.43266678
407454.40595106815,4360530.277999514,4.5743256,4,69,4,2.2871628
407479.40595106815,4360530.277999514,4.9230156,4,69,4,2.4615078
407504.40595106815,4360530.277999514,3.149269,4,69,3,1.5746346
407529.40595106815,4360530.277999514,1.8623772,4,69,2,0.9311886
407554.40595106815,4360530.277999514,1.7910461,15,58,2,0.8955231
407579.40595106815,4360530.277999514,2.2514763,16,57,2,1.1257381
407229.40595106815,4360505.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407254.40595106815,4360505.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407279.40595106815,4360505.277999514,0.0,-1,0,0,0.0
407304.40595106815,4360505.277999514,0.0,-1,0,0,0.0
407329.40595106815,4360505.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407354.40595106815,4360505.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407379.40595106815,4360505.277999514,0.0,-1,0,0,0.0
407404.40595106815,4360505.277999514,0.0,-1,0,0,0.0
407429.40595106815,4360505.277999514,3.675251,4,69,3,1.8376255
407454.40595106815,4360505.277999514,4.265785,4,69,4,2.1328926
407479.40595106815,4360505.277999514,4.533375,4,69,4,2.2666874
407504.40595106815,4360505.277999514,2.1383286,4,69,2,1.0691643
407529.40595106815,4360505.277999514,1.9899292,4,69,2,0.9949646
407554.40595106815,4360505.277999514,2.0016975,16,57,2,1.0008488
407579.40595106815,4360505.277999514,1.7181816,17,56,2,0.8590908
407229.40595106815,4360480.277999514,0.0,-1,0,0,0.0
407254.40595106815,4360480.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407279.40595106815,4360480.277999514,0.0,-1,0,0,0.0
407304.40595106815,4360480.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407329.40595106815,4360480.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407354.40595106815,4360480.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407379.40595106815,4360480.277999514,0.0,-1,0,0,0.0
407404.40595106815,4360480.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407429.40595106815,4360480.277999514,3.8723984,4,69,3,1.9361992
407454.40595106815,4360480.277999514,3.5198708,4,69,3,1.7599354
407479.40595106815,4360480.277999514,1.6347885,17,56,2,0.81739426
407504.40595106815,4360480.277999514,1.7647171,15,58,2,0.88235855
407529.40595106815,4360480.277999514,1.8730774,15,58,2,0.9365387
407554.40595106815,4360480.277999514,1.3659973,20,53,1,0.68299866
407579.40595106815,4360480.277999514,0.12827301,24,41,0,0.064136505
407204.40595106815,4360455.277999514,0.0,-1,0,0,0.0
407229.40595106815,4360455.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407254.40595106815,4360455.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407279.40595106815,4360455.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407304.40595106815,4360455.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407329.40595106815,4360455.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407354.40595106815,4360455.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407379.40595106815,4360455.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407404.40595106815,4360455.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407429.40595106815,4360455.277999514,3.6554718,4,68,3,1.8277359
407454.40595106815,4360455.277999514,3.271698,4,69,3,1.635849
407479.40595106815,4360455.277999514,1.9218826,17,56,2,0.9609413
407504.40595106815,4360455.277999514,1.8606796,16,57,2,0.9303398
407529.40595106815,4360455.277999514,2.151268,16,57,2,1.075634
407554.40595106815,4360455.277999514,1.0313492,20,24,1,0.5156746
407579.40595106815,4360455.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407204.40595106815,4360430.277999514,0.0,-1,0,0,0.0
407229.40595106815,4360430.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407254.40595106815,4360430.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407279.40595106815,4360430.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407304.40595106815,4360430.277999514,0.0,-1,0,0,0.0
407329.40595106815,4360430.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407354.40595106815,4360430.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407379.40595106815,4360430.277999514,0.0,-1,0,0,0.0
407404.40595106815,4360430.277999514,3.5054169,5,67,3,1.7527084
407429.40595106815,4360430.277999514,3.7884064,5,67,3,1.8942032
407454.40595106815,4360430.277999514,3.177021,4,68,3,1.5885105
407479.40595106815,4360430.277999514,1.8890495,17,56,2,0.94452477
407504.40595106815,4360430.277999514,2.057537,16,57,2,1.0287685
407529.40595106815,4360430.277999514,1.9846992,17,56,2,0.9923496
407554.40595106815,4360430.277999514,0.6571808,21,9,1,0.3285904
407204.40595106815,4360405.277999514,0.0,-1,0,0,0.0
407229.40595106815,4360405.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407254.40595106815,4360405.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407279.40595106815,4360405.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
